cross,reference,chr,start,end,crossovers,gene,mRNA,exon,CDS
lycopersicum_pimpinellifolium,lycopersicum,chr1,21600000,21700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21700000,21800000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,21800000,21900000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21900000,22000000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,22000000,22100000,0,3,3,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,22100000,22200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,22200000,22300000,0,3,3,8,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,22300000,22400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,22400000,22500000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,22500000,22600000,0,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,22600000,22700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,22700000,22800000,0,3,3,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,22800000,22900000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,22900000,23000000,0,3,3,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,23000000,23100000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,23100000,23200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23200000,23300000,0,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,23300000,23400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23400000,23500000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,23500000,23600000,0,3,3,13,12
lycopersicum_pimpinellifolium,lycopersicum,chr1,23600000,23700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23700000,23800000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,23800000,23900000,0,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,23900000,24000000,0,42,42,82,82
lycopersicum_pimpinellifolium,lycopersicum,chr1,24000000,24100000,1,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,24100000,24200000,0,2,2,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,24200000,24300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,24300000,24400000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,24400000,24500000,0,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,24500000,24600000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,24600000,24700000,0,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,24700000,24800000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,24800000,24900000,0,3,3,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,24900000,25000000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,25000000,25100000,0,1,1,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,25100000,25200000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,25200000,25300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,25300000,25400000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,25400000,25500000,0,3,3,13,13
lycopersicum_pimpinellifolium,lycopersicum,chr1,25500000,25600000,0,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,25600000,25700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,25700000,25800000,0,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,25800000,25900000,0,2,2,11,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,25900000,26000000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,26000000,26100000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,26100000,26200000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,26200000,26300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,26300000,26400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,26400000,26500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,26500000,26600000,0,2,2,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,26600000,26700000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,26700000,26800000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,26800000,26900000,0,3,3,12,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,26900000,27000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,27000000,27100000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,27100000,27200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,27200000,27300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,27300000,27400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,27400000,27500000,0,1,1,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,27500000,27600000,0,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,27600000,27700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,27700000,27800000,0,4,4,11,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,27800000,27900000,0,7,7,16,13
lycopersicum_pimpinellifolium,lycopersicum,chr1,27900000,28000000,0,2,2,17,12
lycopersicum_pimpinellifolium,lycopersicum,chr1,28000000,28100000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,28100000,28200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,28200000,28300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,28300000,28400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,28400000,28500000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,28500000,28600000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,28600000,28700000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,28700000,28800000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,28800000,28900000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,28900000,29000000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,29000000,29100000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,29100000,29200000,1,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,29200000,29300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,29300000,29400000,0,9,9,21,21
lycopersicum_pimpinellifolium,lycopersicum,chr1,29400000,29500000,0,3,3,15,12
lycopersicum_pimpinellifolium,lycopersicum,chr1,29500000,29600000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,29600000,29700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,29700000,29800000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,29800000,29900000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,29900000,30000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,30000000,30100000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,30100000,30200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,30200000,30300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,30300000,30400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,30400000,30500000,0,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,30500000,30600000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,30600000,30700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,30700000,30800000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,30800000,30900000,0,2,2,15,14
lycopersicum_pimpinellifolium,lycopersicum,chr1,30900000,31000000,0,3,3,8,8
